code,label,description,parent_code,examples
09123000,Natural gas,Hanke esemeks on maagaasi ostmine hankija tarbimiskohtade varustamiseks.,,Hanke esemeks on maagaasi ostmine hankija tarbimiskohtade varustamiseks. || Maagaas fikseeritud hinnaga || Estonia – Natural gas – Maagaasi ostmine
09134200,Diesel fuel,Mootorikütus Lääne-Viru Jäätmekeskus MTÜ-le,,"Mootorikütus Lääne-Viru Jäätmekeskus MTÜ-le || Kutsume Teid esitama pakkumust riigihanke alusdokumentides toodud tingimustel Lääne-Viru Jäätmekeskusele mootorikütuste, tanklakaupade ja tanklateenuste müümiseks. Täpsem hankeobjekti kirjeldus on toodud hankedokumendi lisas nr 1. || Estonia – Diesel fuel – Mootorikütus Lääne-Viru Jäätmekeskus MTÜ-le"
09211000,Lubricating oils and lubricating agents,Õlide ja määrdeainete ostmine,,Õlide ja määrdeainete ostmine || Ostetakse Enefit Power AS erinevate üksuste tarbeks õlisid ja määrdeaineid. || Ostetakse erinevaid hüdroõlisid . || Estonia – Lubricating oils and lubricating agents – Õlide ja määrdeainete ostmine
09310000,Electricity,Elektrienergia hankimine,,"Elektrienergia hankimine || Riigihanke esemeks on elektrienergia hankimine Aktsiaseltsi Tallinna Linnatransport erinevatesse tarbimiskohtadesse. Eeldatav vajaminev elektrienergia kogus on ligikaudu 25 000 MWh aastas. Hankija ostab kogu (100% - sada protsenti) vajamineva elektrienergia taastuvenergiana. Kogu vajaminev elektrienergia ostetakse hankelepingu perioodil Nord Pool kodulehel avaldatud Eesti piirkonna tunnipõhise hinnaga, millele lisandub ostetava elektrienergia Müüja marginaal. Marginaal peab sisaldama ostetava elektrienergia teenustasu (eurot/MWh) ja päritolutunnistuse tühistamise teenustasu (eurot/ MWh). Hankelepingu pikkus on 1 aasta. || Estonia – Electricity – Elektrienergia hankimine || Elektrienergia ostmine || Hanke tulemusel on planeeritud sõlmida AS Tartu Veevärk poolt raamleping(ud) ning hankelepingud vastavalt läbi viidavate minikonkursite tulemustele. || Estonia – Electricity – Elektrienergia ostmine || Riigihanke tulemusena sõlmitakse kuni viie pakkujaga 48 kuuks raamlepingud elektrienergia ostmiseks ja müümiseks maksimaalse kogumaksumusega kuni 12 000 000 eurot käibemaksuta."
09331000,Solar panels,PV-elektrijaama rajamine KBFI Akadeemia tee 23 hoone katusele,,"PV-elektrijaama rajamine KBFI Akadeemia tee 23 hoone katusele || Hanke eesmärgiks on tellida 500kW nimivõimsusega päikeseelektrijaam, mis paigaldatakse Tallinnas Akadeema tee 23 hoone lamekatusele. Hange hõlmab nõuetele vastava täislahenduse koostamist, seadmete tarnimist, paigaldustöid ja vajalikke kooskõlastusi. || Estonia – Solar panels – PV-elektrijaama rajamine KBFI Akadeemia tee 23 hoone katusele"
15612500,Bakery products,Estonia – Bakery products – Pagaritoodete hange,,Estonia – Bakery products – Pagaritoodete hange
15800000,Miscellaneous food products,Toidu- ja esmatarbekaupade ostmine Siseministeeriumi valitsemisalale,,"Toidu- ja esmatarbekaupade ostmine Siseministeeriumi valitsemisalale || Jae- ja hulgimüügi korras kaupade ostmine || Estonia – Miscellaneous food products – Toidu- ja esmatarbekaupade ostmine Siseministeeriumi valitsemisalale || Erinevate toiduainete ostmine Tallinna Teeninduskoolile õppetöö korraldamiseks. Pakkuja esitab pakutavate toodete hinnakirja (vt. vastavustingimused). Leping sõlmitakse kõigi pakkujatega, keda ei kõrvaldata, kes kvalifitseeritakse ja kes on esitanud pakutavate toodete hinnakirja. Täpsemad selgitused on esitatud (vt. alusdokumendid/Selgitused) || Mitmesugused toiduained kooli õppetöö korraldamiseks || Estonia – Miscellaneous food products – Toiduainete ostmine"
15880000,Special nutritional products,Eritoitude ja enteraalse toitmise tarvikute ostmine,,"Eritoitude ja enteraalse toitmise tarvikute ostmine || Käesoleva hanke eesmärk on sõlmida raamlepingud sihtasutuse Tartu Ülikooli Kliinikum kodusele toitmisravi teenusele vormistatud patsientidele sobivate enteraalse toitmise seadmete, tarvikute ja eritoitude ostmiseks ning kauba patsientidele koju tarnimiseks ja sihtasutuse Tartu Ülikooli Kliinikum statsionaarsele toitmisravi teenusele vormistatud patsientidele sobivate enteraalse toitmise seadmete, tarvikute ja eritoitude ostmiseks. || Estonia – Special nutritional products – Eritoitude ja enteraalse toitmise tarvikute ostmine"
16700000,Tractors,Hanke eesmärk on osta Kaitseväele 46 komplekti ATV-sid erinevate teenistusülesannete täitmiseks. Hanke eeldatav maksumus on 1 000 000 eurot. Hanke eeldatav maksumus ei kohusta hankijat selles mahus hankeesemeid ostma. Lõplikud kogused ja summad selguvad sõlmitava hankelepingu alusel.,,"Hanke eesmärk on osta Kaitseväele 46 komplekti ATV-sid erinevate teenistusülesannete täitmiseks. Hanke eeldatav maksumus on 1 000 000 eurot. Hanke eeldatav maksumus ei kohusta hankijat selles mahus hankeesemeid ostma. Lõplikud kogused ja summad selguvad sõlmitava hankelepingu alusel. || Hanke osa eesmärk on osta Kaitseväele 46 komplekti ATV-sid erinevate teenistusülesannete täitmiseks. || Estonia – Tractors – ATV-de ostmine || Rajatraktori ostmine || Hanke eesmärgiks on uue, lisavarustusega rajatraktori ostmine murdmaasuusaradade ettevalmistamiseks. Rajatraktor peab sobima kunstlume ning loodusliku lume töötlemiseks FIS-i ning IBU normidele vastavate murdmaasuusaradade ettevalmistamiseks. || Estonia – Tractors – Rajatraktori ostmine"
18000000,"Clothing, footwear, luggage articles and accessories",Framework Contract for the Supply and Delivery of Uniform for Identity Malta Agency's Staff using Environmentally Friendly Materials (SPD2/2023/027),,"Framework Contract for the Supply and Delivery of Uniform for Identity Malta Agency's Staff using Environmentally Friendly Materials (SPD2/2023/027) || The subject of this tender (framework contract) is the supply and delivery of uniform using environmentally friendly material for Identity Malta Agency’s staff. || ['The subject of this tender (framework contract) is the supply and delivery of uniform using environmentally friendly material for Identity Malta Agency’s staff.'] || Malta – Clothing, footwear, luggage articles and accessories – Framework Contract for the Supply and Delivery of Uniform for Identity Malta Agency's Staff using Environmentally Friendly Materials (SPD2/2023/027)"
18143000,Protective gear,Ballistilise kaitsega taktikalise kandesüsteemi tekstiilosade ostmine (kordus),,Ballistilise kaitsega taktikalise kandesüsteemi tekstiilosade ostmine (kordus) || Estonia – Protective gear – Ballistilise kaitsega taktikalise kandesüsteemi tekstiilosade ostmine (kordus)
